MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE
0.1860251597112891,0.2328078662353547,0.2830429479552668,0.308634163497472,0.3521590998535242,0.3973094247224666,0.2933297769958955,0.0716361969787292,0.1096239093622968,0.1592074699691085,0.1916271736550224,0.2384176568589692,0.279206548942604,0.1749531592944551,0.8777357673218897,1.091365415391241,1.32509031676862,1.4468541779577595,1.6535058711297697,1.872532499600106,1.3778473413615644
0.2003173909231104,0.2509256297164718,0.3042872092608883,0.3324540454490497,0.3808741026430812,0.4209056094646586,0.3149606645762101,0.0797123921910788,0.1282118772298755,0.1836503852729674,0.2224551112673072,0.2897219481455779,0.3315155321589689,0.2058778743776292,0.9447072049471223,1.177831271084202,1.427671904652911,1.5578872431040405,1.7849620271722286,1.9838674868480544,1.4794878563014262
0.203886821196592,0.2453780038496113,0.2884611781022157,0.3217333180664308,0.3626127593363984,0.4103643614342795,0.3054060736642545,0.0817932813970301,0.1171243440723511,0.1625995517401059,0.2012159401718672,0.2490589156236971,0.2905324922174233,0.1837207542037459,0.96423373092844,1.1533621323807726,1.3551957833509802,1.5081019288881952,1.705031273660175,1.9361580188705927,1.4370138113465265
0.1907851404462167,0.2421311851777213,0.2928113169393492,0.3151189396102239,0.359290014875523,0.4042842278112742,0.3007368041433846,0.0743887827192416,0.1175912193080657,0.1700678581139802,0.1988681414894975,0.2504169978277033,0.2904267734595749,0.1836266288196772,0.8957857566837202,1.133421029940233,1.3697182127044472,1.4758714908959858,1.6810412246401305,1.9004818254598068,1.409386590054054
0.1920430099241771,0.239124998635896,0.2901812415274091,0.3237205543181317,0.3639381088724889,0.4117684374398216,0.3034627251196541,0.0706003426796945,0.112155890475682,0.1654751040913542,0.2061104322386597,0.2551914462422631,0.3040589727689848,0.1855986980827731,0.9085826024429098,1.1244191690149714,1.3577358147301304,1.511223305076098,1.7038044404336194,1.9420192523137785,1.424630764001918
0.1968024071575665,0.2396655712061366,0.2828396158254078,0.3050408411567049,0.3545422340525259,0.4024539425297528,0.2968907686546824,0.0774483651302812,0.1121629986880703,0.1561603668395988,0.1836081650464277,0.2336814217364918,0.2826758347210703,0.1742895253603234,0.9362496449144432,1.1318392432815378,1.3344638752254894,1.442070016864605,1.673844525221406,1.9029847343745183,1.403575339980333
0.1762721078946345,0.2240242227218337,0.267222511900919,0.2857434000096457,0.3260079638844522,0.373064277182577,0.2753890805990103,0.0617381349243972,0.1000761824216429,0.1433393266391167,0.1665500197462216,0.2145402381148907,0.2505921411291963,0.1561393404959109,0.829794412449407,1.0476583532469976,1.2493397546323612,1.3369517341938797,1.5283940383323245,1.75422570079765,1.2910606656087702
0.2076877669197031,0.2590665883644642,0.311771541575892,0.3470659078967887,0.4008035754347258,0.4390042566623466,0.3275666061423199,0.0835810938245533,0.1278231805297907,0.1879977139093498,0.2368346043682807,0.302521763145452,0.3437274162707275,0.2137476286746924,0.9780325946279304,1.2170641351231115,1.460656646754359,1.6237677718815875,1.8763820014810864,2.064688003335011,1.536765192200514
0.1842496878724726,0.2344234882441936,0.2827470134102592,0.3039981027155791,0.3529488293478259,0.4064499588596565,0.2941361800749979,0.0689567375589849,0.1121731363042131,0.1623335132354224,0.1904614284980582,0.2469023592934962,0.2967467670508541,0.1795956569901715,0.8623789123883974,1.0943775353022802,1.321484269976868,1.423990933922378,1.6580595358217065,1.9129697555538017,1.378876823827572
0.1911835497689151,0.2358826775511373,0.2881205959009413,0.3134451511614471,0.3569949077815822,0.4131735954272515,0.2998000795985457,0.0755468281234592,0.1106698607362971,0.1670898330613283,0.1940314746249384,0.2456433887954597,0.3010164107301198,0.1823329660119338,0.897337315644039,1.1036246275005692,1.3471420855986258,1.4707347965289794,1.6780231442017088,1.947430880166671,1.4073821416067656
0.1944759875931012,0.2469783165065845,0.295383046393307,0.318115120980904,0.3586878671246301,0.4098760171492687,0.3039193926246326,0.0748371916932406,0.1219818631633471,0.1792421503957148,0.2039621107509337,0.2537785816663269,0.3071732482350605,0.1901625243174373,0.9166623404325136,1.1597269115971949,1.38798648556865,1.4939611914432476,1.6844022270750294,1.9333140633848007,1.4293422032502394
0.183381502398515,0.2285299510435295,0.2786436461601878,0.3014080388129508,0.3374064285048647,0.3861985399359288,0.2859280178093295,0.0665333820445955,0.1022549075243249,0.1546920085105126,0.1837976837556172,0.2257518734942107,0.2743318208494816,0.167893612696457,0.8634301863023475,1.0697173395869994,1.302096278521846,1.407909650452642,1.5787247591309104,1.8155090774050755,1.3395645485666368
0.1904726760805448,0.2360741295875679,0.2954273841853084,0.3199506871853197,0.3581717444937442,0.4072161050516167,0.301218787764017,0.0735427078322726,0.1121360993596231,0.1725943161048045,0.2076965488839064,0.2504493357122201,0.2967603490272346,0.1855298928200102,0.8992922270646979,1.1086886340562505,1.3865755852299624,1.5018756423832118,1.687280549590665,1.9254856088358727,1.41819970786011
0.2009502683742365,0.2482241814446063,0.2985467100412832,0.3245543009224083,0.3621870202953889,0.4127088951705381,0.3078618960414104,0.0848004247156819,0.1222096172551084,0.177948761431444,0.2086725494850754,0.24881663057579,0.2992398770992819,0.1902813100937302,0.9415437912117806,1.1568890285718434,1.3925952629559355,1.5210610111901977,1.704586287008752,1.952245421795231,1.4448201337889568
0.20410082951232,0.2425885147821916,0.2974485956508055,0.329910124914108,0.3643562220779621,0.4087484568810977,0.3078587906364141,0.0815033350228332,0.1128527143492853,0.1680178932488789,0.2067021582151586,0.2489125378462959,0.2909954133027535,0.1848306753308675,0.9616594228819172,1.1385797210308846,1.3953960405677224,1.548001838715637,1.7112003796727289,1.9282803813643568,1.4471862973722076
0.1883615755194226,0.240231708405945,0.2890204551608196,0.3131992850818468,0.3566986524721428,0.4047708020186601,0.2987137464431394,0.0729927750836433,0.1174679287660653,0.1731241931738276,0.2014594207917303,0.2562063408686755,0.2993831831649267,0.1867723069748115,0.882600572769764,1.120183746743881,1.343756860284883,1.4608825286808642,1.6669251764243098,1.9018019741686083,1.3960251431787185
